study_key,pmid,doi,year,title,study_design,design_detail,appraisal_instrument,appraisal_basis,n_readers,n_subjects,reader_subset_verified,rob_patient_selection,rob_patient_selection_evidence,rob_patient_selection_rationale,rob_index_test,rob_index_test_evidence,rob_index_test_rationale,rob_reference_standard,rob_reference_standard_evidence,rob_reference_standard_rationale,rob_flow_timing,rob_flow_timing_evidence,rob_flow_timing_rationale,app_patient_selection,app_patient_selection_evidence,app_patient_selection_rationale,app_index_test,app_index_test_evidence,app_index_test_rationale,app_reference_standard,app_reference_standard_evidence,app_reference_standard_rationale,repro_code_available,repro_code_evidence,repro_public_dataset,repro_dataset_evidence,repro_benchmark,repro_reference_standard,repro_sampling,repro_centres,repro_sampling_evidence,repro_ethics_stated,rater_status,reviewer_1,reviewer_2,reviewer_3,consensus_note
S064,37384951,10.1016/j.media.2023.102872,2023,Adaptive diffusion priors for accelerated MRI reconstruction,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"cross-domain cases. Code to implement AdaDiff is available at https://github.com/icon-lab/AdaDiff. Contributions • To our knowledge, AdaDiff is the first prior adaptati",yes,tasets Demonstrations were performed on multi-contrast brain MRI from IXI (http://brain-development.org/ixi-dataset/) and fastMRI (Knoll et al.,IXI;fastMRI;ixi,Fully sampled acquisition,retrospective,not stated,"nsistency projection for inference (Peng et al., 2022). 4.4. Analyses Retrospectively undersampled acquisitions in IXI and fastMRI were reconstructed. H",not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S065,36702502,10.3174/ajnr.a7777,2023,Clinical Evaluation of Scout Accelerated Motion Estimation and Reduction Technique for 3D MR Imaging in the Inpatient and Emergency Department Settings,Diagnostic accuracy / reader study,reader study,QUADAS-2,full text,2,97,yes,Unclear,Ninety-seven patients who underwent routine brain MR imaging examination between August 2021 and January 2022 in the inpatient and emergency department settings were included in this study.,"A defined single-centre time window is given but the study never states that enrolment was consecutive or random, and no inclusion or exclusion rule is described.",Low,"Two neuroradiologists (M.L. and J.F. with 3 and 5 years of experience, respectively) performed independent blinded reviews of unlabeled MPRAGE images without and with SAMER motion correction.","Readers were blinded to reconstruction type, images were unlabeled and independently reviewed, and a previously established 5-point motion scale was used.",Low,The order of the study and the type of study (baseline-versus-SAMER motion-corrected images) were randomized by A.T. for the reviewing neuroradiologists.,"The standard non-motion-corrected reconstruction was graded blind and in randomized order by the same neuroradiologists, with a third blinded senior reader adjudicating discrepancies.",Low,The same 2 neuroradiologists (M.L. and J.F.) independently reviewed 79 of 97 cases with pathology in a blinded fashion; 18 cases did not have visible pathology on MPRAGE images.,"Both reconstructions come from the same raw k-space (zero interval), all 97 cases appear in the motion-grade analysis, and the 18 cases omitted from the head-to-head substudy are explained.",Low,Ninety-seven patients who underwent MR imaging in the inpatient and emergency department settings were included in the study.,Unselected clinical inpatient and emergency brain MRI patients are directly relevant to whether an advanced reconstruction is safe in routine practice.,Low,SAMER motion correction was retrospectively applied to an accelerated T1-weighted MPRAGE sequence that was included in brain MR imaging examinations performed with and without contrast.,An advanced model-based reconstruction applied to an R=4 accelerated brain acquisition matches the review's index-test concept.,Low,"Two blinded neuroradiologists graded images with and without SAMER motion correction on a 5-tier motion severity scale (none = 1, minimal = 2, mild = 3, moderate = 4, severe = 5).","The conventional reconstruction of the same acquisition, read by expert neuroradiologists with an explicit diagnostic/nondiagnostic cut-off, is the intended standard-of-care reference.",not stated,,not stated,,,Expert reader consensus,both stated,not stated,tion and reduction (SAMER) framework has been developed for efficient retrospective motion correction. The goal of this study was to perform an initial,yes,verified,Dat Tat Mai,Thai Viet Pham,Thu Nguyen Thi Dang,"Independently appraised by three reviewers (2026-08-06); independent ratings agreed on all domains, no adjudication required."
S066,,10.1007/s00062-023-01261-7,2023,Comparison of EPI DWI and STEAM DWI in Early Postoperative MRI Controls After Resection of Tumors of the Central Nervous System,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Expert reader consensus,retrospective,not stated,The MRIs of neurosurgical patients with early postoperative MRI were retrospectively analyzed. The study was ethically approved by the institutional re,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S067,,10.48550/arxiv.2305.00088,2023,DD-CISENet: Dual-Domain Cross-Iteration Squeeze and Excitation Network for Accelerated MRI Reconstruction,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,partial full text (truncated),,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,. This study included 720 multi-coil brain MRI cases adopted from the open-source fastMRI Dataset. Results showed that the average reconstruction error,yes,included 720 multi-coil brain MRI cases adopted from the open-source fastMRI Dataset. Results showed that the average reconstruction error by DD-C,fastMRI;fastmri,Fully sampled acquisition,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S068,37797482,10.1016/j.media.2023.102942,2023,"Deep learning, data ramping, and uncertainty estimation for detecting artifacts in large, imbalanced databases of MRI images",Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,abstract + MeSH only,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Not stated,not stated,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S069,36433748,10.1002/mp.16119,2023,Deep learning-based motion quantification from k-space for fast model-based magnetic resonance imaging motion correction,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"ct removal with unpaired data. Accessed on: 22 February 2022. https://zenodo.org/record/4474599 41. Kim D, Cauley SF, Nayak KS, Leahy RM, Haldar JP. Region- optimize",not stated,,,Stated ground truth (unspecified),both stated,not stated,nce imaging (MRI) of the head. PURPOSE: State-of-the-art methods for retrospective motion correction in MRI are often computationally expensive or in t,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S070,36867912,10.1016/j.media.2023.102744,2023,Diffusion MRI data analysis assisted by deep learning synthesized anatomical images (DeepAnat),Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,The source codes are publicly and freely available at GitHub (https://github.com/liziyu0929/DeepAnat). As results from the HCP data (reported in the Results section) demo,yes,ystematic evaluations using data of 60 young subjects provided by the Human Connectome Project (HCP) show that the synthesized T1w images and results for br,ADNI;HCP;Human Connectome;UK Biobank,Expert reader consensus,prospective,not stated,,not stated,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S071,37125656,10.1002/mrm.29684,2023,Distortion-corrected image reconstruction with deep learning on an MRI-Linac,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,** The source code for our neural networks is available at: https://github.com/shanshanshan3/DCReconNet. ### **ORCID** _Shanshan Shan_ https://orcid.org/0000-0002-8758-42,yes,", Borowski BJ, et al. Measurement of MRI scanner performance with the ADNI phantom. _Med Phys_ . 2009;36:2193-2205. 16. Schad LR, Ehricke HH,",ADNI,Fully sampled acquisition,both stated,not stated,patient lung images acquired from an MRI-Linac for fully sampled and retrospectively subsampled acquisitions. ## **2 METHODS** ## **2.1 GNL-encodin,yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S072,37058493,10.1371/journal.pone.0284440,2023,Effect of geometric distortion correction on thickness and volume measurements of cortical parcellations in 3D T1w gradient echo sequences,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"ions of this study that need to be mentioned. First, we only used the open-source FreeSurfer software to investigate the effect of distortion correctio",not stated,,,Expert reader consensus,not stated,both stated,"onal and longitudinal studies. Of course, this bias is more likely in multi-site studies assuming that one site uses the distortion correction provide",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S073,37237139,10.1038/s41598-023-35794-1,2023,Evaluation of motion artefact reduction depending on the artefacts' directions in head MRI using conditional generative adversarial networks,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,not stated,,not stated,,,Stated ground truth (unspecified),both stated,not stated,"in k-space would cause a motion artefact across the entire image, in retrospective motion correction, k-space data were corrected with reference to a p",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
S074,37284977,10.1007/s12021-023-09635-5,2023,Geometric Reliability of Super-Resolution Reconstructed Images from Clinical Fetal MRI in the Second Trimester,Algorithmic / methodological reconstruction study,,Reproducibility & robustness checklist,full text,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,yes,"t al., 2021). On average, 3.35 sequences per subject were 1 https://github.com/gift-surg/NiftyMIC. 2 https://github.com/Medical-Image-Analysis-Laboratory/ mialsuperres",not stated,,,Expert reader consensus,both stated,multi-centre,"in the diagnosis of fetal brain abnormalities in utero (MERIDIAN): A multicentre, prospective cohort study. Lancet (London England), 389(10068), 538–",yes,"n/a - evidence-linked extraction, not a rated appraisal",,,,"Reproducibility and robustness items extracted with supporting evidence; QUADAS-2 does not apply to this design, so no risk-of-bias rating was made."
