file,pmid,doi,decision,confidence,reason_label,primary_reason,picos_population,picos_intervention,picos_comparator,picos_outcome,picos_study_design,evidence_spans
1991 - Iterative reconstruction algorithm which incorporates a high resolution anatomical image simultaneous correction for 3-D - IEEEXPLORE 259263.md,,10.1109/nssmic.1991.259263,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,"Iterative reconstruction algorithm which incorporates a high resolution anatomical image: simultaneous correction for 3-D detector response, attenuation, and scatter in SPECT neuroreceptor imaging"
1991 - Lumen definition in MR angiography. - PMID 1802146.md,1802146,10.1002/jmri.1880010311,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,Lumen definition in MR angiography.
1991 - MR differentiation of hepatic haemangioma and hepatocellular carcinoma value of delayed-phase Gd-DTPA enhanced images. - PMID 1648765.md,1648765,10.1055/s-2008-1033198,exclude,0.95,wrong_population,Non-brain (or animal) imaging/clinical study with no AI/ML brain-MRI-reconstruction relevance.,"Target is a non-brain organ or animal model, outside the AI/ML brain MRI reconstruction scope.",No AI/ML reconstruction or automated safety-evaluation methodology.,No relevant reconstruction-safety comparator.,"Clinical/diagnostic or measurement outcomes, not reconstruction-safety failure detection.",Clinical/technical study outside the review population.,MR differentiation of hepatic haemangioma and hepatocellular carcinoma: value of delayed-phase Gd-DTPA enhanced images.
1991 - MR imaging of microcirculation in rat brain correlation with carbon dioxide-induced changes in blood flow. - PMID 1823172.md,1823172,10.1002/jmri.1880010609,exclude,0.95,wrong_population,Non-brain (or animal) imaging/clinical study with no AI/ML brain-MRI-reconstruction relevance.,"Target is a non-brain organ or animal model, outside the AI/ML brain MRI reconstruction scope.",No AI/ML reconstruction or automated safety-evaluation methodology.,No relevant reconstruction-safety comparator.,"Clinical/diagnostic or measurement outcomes, not reconstruction-safety failure detection.",Clinical/technical study outside the review population.,MR imaging of microcirculation in rat brain: correlation with carbon dioxide-induced changes in blood flow.
1991 - Motion artifact reduction with three-point ghost phase cancellation. - PMID 1823168.md,1823168,10.1002/jmri.1880010604,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,Motion artifact reduction with three-point ghost phase cancellation.
1991 - Observer variation in quantification of immunocytochemistry by image analysis. - PMID 1724237.md,1724237,10.1007/bf01041181,exclude,0.94,out_of_scope,"General diagnostic-imaging, morphometry/segmentation/registration, or non-reconstruction study; no AI/ML reconstruction-safety contribution.",Brain-imaging-related but not AI/ML reconstruction of brain MRI.,No AI/ML reconstruction or automated (LLM/causal/counterfactual) safety-evaluation method.,No relevant reconstruction-safety comparator.,"Diagnostic-accuracy or measurement outcomes, not reconstruction-safety failure detection.",Out of scope for reconstruction-safety-evaluation methodology.,Observer variation in quantification of immunocytochemistry by image analysis.
1991 - On the nature and reduction of the displacement artifact in flow images. - PMID 1812381.md,1812381,10.1002/mrm.1910220255,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,On the nature and reduction of the displacement artifact in flow images.
1991 - Overall body fat and regional fat distribution in young women quantification with MR imaging. - PMID 1646564.md,1646564,10.2214/ajr.157.1.1646564,exclude,0.95,wrong_population,Non-brain (or animal) imaging/clinical study with no AI/ML brain-MRI-reconstruction relevance.,"Target is a non-brain organ or animal model, outside the AI/ML brain MRI reconstruction scope.",No AI/ML reconstruction or automated safety-evaluation methodology.,No relevant reconstruction-safety comparator.,"Clinical/diagnostic or measurement outcomes, not reconstruction-safety failure detection.",Clinical/technical study outside the review population.,Overall body fat and regional fat distribution in young women: quantification with MR imaging.
1991 - Perfluoroctylbromide as a gastrointestinal contrast agent for MR imaging use with and without glucagon. - PMID 1924788.md,1924788,10.1148/radiology.181.2.1924788,exclude,0.95,wrong_population,Non-brain (or animal) imaging/clinical study with no AI/ML brain-MRI-reconstruction relevance.,"Target is a non-brain organ or animal model, outside the AI/ML brain MRI reconstruction scope.",No AI/ML reconstruction or automated safety-evaluation methodology.,No relevant reconstruction-safety comparator.,"Clinical/diagnostic or measurement outcomes, not reconstruction-safety failure detection.",Clinical/technical study outside the review population.,Perfluoroctylbromide as a gastrointestinal contrast agent for MR imaging: use with and without glucagon.
1991 - Phase-constrained data extrapolation method for reduction of truncation artifacts. - PMID 1823178.md,1823178,10.1002/jmri.1880010619,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,Phase-constrained data extrapolation method for reduction of truncation artifacts.
1991 - Quantitation of structural distortion of the cervical neural foramina in gradient-echo MR imaging. - PMID 1823173.md,1823173,10.1002/jmri.1880010611,exclude,0.95,wrong_population,Non-brain (or animal) imaging/clinical study with no AI/ML brain-MRI-reconstruction relevance.,"Target is a non-brain organ or animal model, outside the AI/ML brain MRI reconstruction scope.",No AI/ML reconstruction or automated safety-evaluation methodology.,No relevant reconstruction-safety comparator.,"Clinical/diagnostic or measurement outcomes, not reconstruction-safety failure detection.",Clinical/technical study outside the review population.,Quantitation of structural distortion of the cervical neural foramina in gradient-echo MR imaging.
1991 - Quantitative SPECT brain imaging effects of attenuation and detector responseat - IEEEXPLORE 259210.md,,10.1109/nssmic.1991.259210,exclude,0.95,wrong_intervention_or_index,Classical (non-AI/ML) MR/CT/SPECT/PET imaging or reconstruction methodology; not AI/ML-based reconstruction and not an automated (LLM/causal/counterfactual) safety-evaluation of reconstruction fidelity.,"Conventional MR/nuclear imaging methodology, not AI/ML-based brain MRI reconstruction.","Classical reconstruction/artifact/pulse-sequence technique; no M-LLM, LLM-as-judge, causal discovery, or counterfactual diffusion evaluation.",No AI reconstruction-safety evaluation or comparator relevant to the review.,"Reports conventional image-quality/artifact behaviour, not detection/quantification of AI-reconstruction safety failures (e.g., hallucinated pathology).",Technical imaging paper predating deep-learning reconstruction.,Quantitative SPECT brain imaging: effects of attenuation and detector responseat
1991 - Reconstructed image of the human heart based on magnetic resonance images for total artificial heart implantation. - PMID 1751117.md,1751117,,exclude,0.95,wrong_population,Non-brain (or animal) imaging/clinical study with no AI/ML brain-MRI-reconstruction relevance.,"Target is a non-brain organ or animal model, outside the AI/ML brain MRI reconstruction scope.",No AI/ML reconstruction or automated safety-evaluation methodology.,No relevant reconstruction-safety comparator.,"Clinical/diagnostic or measurement outcomes, not reconstruction-safety failure detection.",Clinical/technical study outside the review population.,Reconstructed image of the human heart based on magnetic resonance images for total artificial heart implantation.
